ensembl_gene_id	external_gene_name	Fem7_Exe_shelf	Fem8_Exe_shelf	Fem9_Exe_shelf	Fem7_Exe_HVC	Fem8_Exe_HVC	Fem9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000001	C2CD2L	69	91	142	74	143	101	101.91278279289358	0.10720690305897229	0.36465684687771593	0.29399393971868315	0.7687625342555716	0.9998207068924773
ENSTGUG00000000002	DPAGT1	2060	2265	2250	1915	2329	2169	2150.0970533714376	0.005297269955699336	0.1135582487739628	0.04664804197750116	0.9627937417201672	0.9998207068924773
ENSTGUG00000000003	EGR1	5995	1813	254	4019	2105	592	2549.812583658293	-0.21148310409787635	1.2819038977662727	-0.1649757867702776	0.8689630402533897	0.9998207068924773
ENSTGUG00000000004	REEP2	134	175	169	143	159	136	151.6047087554939	-0.07493925622973445	0.23224277437293084	-0.3226763736011803	0.7469403469331222	0.9998207068924773
ENSTGUG00000000005		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000006	PIAS2	605	903	635	638	863	622	704.0263207601917	0.03706472774298424	0.2005153604601792	0.18484732370588142	0.8533487884455061	0.9998207068924773
ENSTGUG00000000007	KDM3B	592	703	676	624	691	742	666.8953811505894	0.10622474231949713	0.13792830770040218	0.7701446069376184	0.4412141181426038	0.9998207068924773
ENSTGUG00000000008	H2AFX	17	11	18	23	9	18	16.20113841139525	0.18063249468272355	0.6926801672753327	0.26077330233554114	0.7942673339172509	0.9998207068924773
ENSTGUG00000000010	HMBS	812	989	821	723	864	768	823.0635483575018	-0.10911432871081496	0.1423418583803836	-0.7665652953555383	0.44334001603265394	0.9998207068924773
ENSTGUG00000000011		13	23	70	21	24	79	37.57849912570438	0.25094758870750566	0.7305810301215268	0.3434904252383372	0.7312295427265199	0.9998207068924773
ENSTGUG00000000012		16	26	42	32	14	28	26.304914618470438	-0.10569617326008865	0.6094136178040158	-0.1734391391530735	0.8623062626548258	0.9998207068924773
ENSTGUG00000000013		168	243	192	193	214	183	197.36668048787718	0.022831638557775393	0.22207132592061393	0.10281218641409494	0.9181120331621593	0.9998207068924773
ENSTGUG00000000014		1083	1523	1403	959	1461	1393	1286.3801280864388	-0.034155273284618044	0.16916035169583646	-0.20191063060705794	0.8399865912157632	0.9998207068924773
ENSTGUG00000000015		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000016	SMAD2	1316	1434	1339	1160	1421	1329	1324.0164134937916	-0.02409236363480954	0.12097317807226342	-0.19915458962661914	0.842141820043123	0.9998207068924773
ENSTGUG00000000017		83	43	4	110	33	1	47.74321172701061	0.2545623424961433	1.6497459683054532	0.15430396399611668	0.8773700719337978	0.9998207068924773
ENSTGUG00000000018	VPS11	1991	1863	2245	1668	1823	2135	1943.209201743125	-0.07988364149835106	0.1536510791875974	-0.5199028989625164	0.6031312547715594	0.9998207068924773
ENSTGUG00000000019		0	4	0	10	1	3	3.1220322390681163	1.9993619303866066	1.9113873068513825	1.046026581436362	0.29554876002697134	0.9998207068924773
ENSTGUG00000000020		3	8	21	3	5	4	7.160554618551153	-1.3670254534493478	1.0610660671301233	-1.2883509291242874	0.19762383209965145	0.9998207068924773
ENSTGUG00000000021		1997	1738	1735	1641	1829	1865	1794.9391173970205	-3.068998982406896e-4	0.1521653980701249	-0.0020168836156775655	0.9983907607931305	0.9998207068924773
ENSTGUG00000000022		155	152	200	122	228	263	184.22215275262243	0.29175842900289367	0.2947301992876673	0.9899169807099643	0.3222146989160526	0.9998207068924773
ENSTGUG00000000023	RANBP3	1149	1215	1280	1180	1176	1186	1193.3530327732224	0.006843674394025919	0.14109807936369362	0.04850295925280246	0.9613154060767384	0.9998207068924773
ENSTGUG00000000024	CXCR5	4	2	2	0	2	0	1.6504622953177446	-2.0261293469977755	2.159406125584453	-0.9382808185048536	0.3481001145744912	0.9998207068924773
ENSTGUG00000000025	BCL9L	141	174	150	135	152	167	151.94705979474756	0.009687991861562637	0.2200391754576535	0.04402848647934099	0.9648816969520274	0.9998207068924773
ENSTGUG00000000026		0	1	0	0	0	1	0.31361699644676744	0.04432518385412151	4.080472856796901	0.010862756697496081	0.9913329445949881	0.9998207068924773
ENSTGUG00000000027	CCDC84	697	839	689	541	610	706	674.034860503141	-0.21842085725251986	0.15270748385026423	-1.430321892191546	0.15262465434617542	0.9998207068924773
ENSTGUG00000000028	ZBTB7C	29	53	22	47	62	26	39.61582867342914	0.4419392232125255	0.5294981256280392	0.8346379369867271	0.4039215953085436	0.9998207068924773
ENSTGUG00000000029	TRAPPC4	4079	4298	4155	3631	4334	4326	4110.619737537724	0.011162768249814587	0.10791916271256889	0.1034363867290689	0.9176166345792793	0.9998207068924773
ENSTGUG00000000030	CTIF	931	1087	1056	937	894	898	962.6643447455849	-0.11902487355895267	0.14951151152183964	-0.7960917012170418	0.4259787373513215	0.9998207068924773
ENSTGUG00000000031	GFRA3	26	28	49	48	47	49	41.11820500424558	0.5323991230260249	0.43876174863631495	1.2134128024622424	0.2249720339987449	0.9998207068924773
ENSTGUG00000000032	SLC1A6	27	74	71	50	73	88	62.69247850787713	0.34497085850507914	0.4370347505751502	0.7893442296089445	0.42991084238404387	0.9998207068924773
ENSTGUG00000000033		127	147	110	148	82	74	115.21800316205803	-0.2559107653568686	0.37870075086813815	-0.67575985727574	0.49919312533125815	0.9998207068924773
ENSTGUG00000000034		90	56	63	50	52	36	57.97150725741198	-0.5623210541759442	0.4085051389431977	-1.376533611377982	0.1686564886904672	0.9998207068924773
ENSTGUG00000000035		278	323	391	235	337	317	310.13700929655414	-0.12186116205115413	0.2052986659852897	-0.593579902072456	0.5527931266214718	0.9998207068924773
ENSTGUG00000000036	SLC37A4	413	638	446	418	574	511	494.0969646583618	0.05257367849345723	0.1940737411311509	0.2708953730011783	0.7864715038292056	0.9998207068924773
ENSTGUG00000000037	CDC23	478	782	740	499	765	759	660.6385268481366	0.05781674190732075	0.21049431484801037	0.2746712753219389	0.7835688016007898	0.9998207068924773
ENSTGUG00000000038		1054	1121	1049	1047	1093	1259	1098.4163007384711	0.11862337567912672	0.13626361271319562	0.8705433043875209	0.38400356458551416	0.9998207068924773
ENSTGUG00000000039	HYOU1	2072	2657	2687	2062	2672	2578	2431.0056929261314	0.02192957671624781	0.13332634344049676	0.16448044812715448	0.8693529372594616	0.9998207068924773
ENSTGUG00000000040	JAKMIP2	1255	1508	1447	1236	1447	1462	1381.8867767025556	0.02143959175827582	0.1185479619697112	0.1808516266500946	0.8564840389766254	0.9998207068924773
ENSTGUG00000000041		9	27	43	15	30	34	25.73482333888741	0.03881670781684815	0.6548257854705797	0.05927791586422207	0.9527307507648988	0.9998207068924773
ENSTGUG00000000042	CHPF2	844	1290	1088	841	1150	998	1022.7180843939259	-0.06114464741406188	0.1684766665087327	-0.36292650300564055	0.7166597880976084	0.9998207068924773
ENSTGUG00000000043	CZH18orf32	6059	3860	3901	5044	4050	3780	4479.784002746876	-0.058685074902288616	0.25791754781050263	-0.22753424650813506	0.8200083426212287	0.9998207068924773
ENSTGUG00000000044	RPL17	5095	5096	5050	4197	5152	5223	4936.090836870706	-0.028899617035547175	0.11699874570052965	-0.24700792185857037	0.8049020932507059	0.9998207068924773
ENSTGUG00000000045		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000046		3072	3711	3296	2900	3509	3313	3274.4011739354505	-0.008081563477046074	0.10986494194062439	-0.0735590747539255	0.9413612364896715	0.9998207068924773
ENSTGUG00000000047	DPYSL3	1349	1961	1432	1438	1676	1518	1548.636138821271	0.018423299486651754	0.15792354178186405	0.11665961438541829	0.9071297947345691	0.9998207068924773
ENSTGUG00000000048		382	288	340	352	383	428	361.6698775997669	0.23506865922413467	0.21058206284091932	1.1162805419078516	0.26430206793120453	0.9998207068924773
ENSTGUG00000000049	RPL36	5390	5222	4599	4832	5685	4765	5064.115114940325	0.047263944641056536	0.14964509024850495	0.315840262868422	0.7521237558161505	0.9998207068924773
ENSTGUG00000000050	PHLDB1	103	94	81	69	119	151	101.66586807535688	0.30248583450505656	0.3339617212911747	0.9057500163059858	0.3650681825422639	0.9998207068924773
ENSTGUG00000000051	LMNB2	348	377	328	295	255	268	310.71014782274233	-0.3111617808946706	0.202354210450949	-1.537708457863281	0.12411991471574903	0.9998207068924773
ENSTGUG00000000052		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000053		144	105	146	180	122	142	140.8526309202722	0.2216805696314176	0.31756754094752065	0.6980580224603347	0.48514090862447196	0.9998207068924773
ENSTGUG00000000054	ASB10	1	0	1	0	0	2	0.6577757296567533	-0.052033927014190455	3.4082057520621585	-0.015267249338660662	0.9878189706790521	0.9998207068924773
ENSTGUG00000000055	AGAP3	4165	5340	4940	3533	4508	4418	4437.13309350454	-0.17078837214139198	0.11831764421406911	-1.4434733997271694	0.14888716050390813	0.9998207068924773
ENSTGUG00000000056	ARCN1	310	368	336	275	384	357	335.09167794305284	0.04070602917831532	0.173230216720559	0.23498226781058065	0.8142224961656547	0.9998207068924773
ENSTGUG00000000057	TMPRSS9	240	238	259	160	258	283	236.95433362861098	-0.04794645194002746	0.2330243707427086	-0.2057572424172192	0.8369805420979068	0.9998207068924773
ENSTGUG00000000058		584	545	385	553	466	418	492.93033606011255	-0.021701353625315934	0.2513282772135225	-0.08634664537519979	0.9311908592623336	0.9998207068924773
ENSTGUG00000000059	IFT46	952	1126	922	922	1141	932	992.6300289175207	0.04266440260410726	0.15151039231005503	0.28159390226379755	0.77825491636761	0.9998207068924773
ENSTGUG00000000060	TMEM25	93	119	96	102	98	104	101.46866552550628	0.03327826033298659	0.26722395045932185	0.12453322494404322	0.9008930954240988	0.9998207068924773
ENSTGUG00000000061	LIPG	71	327	42	75	307	50	140.4133439314395	0.0331895986074308	1.0670533987036734	0.03110397159856452	0.9751866223258754	0.9998207068924773
ENSTGUG00000000062	STK32A	32	13	19	25	32	21	23.819501634402993	0.30486063546002595	0.592933357166475	0.5141566615798134	0.6071424650661517	0.9998207068924773
ENSTGUG00000000063	SPPL2B	590	923	914	660	839	882	791.7056025734564	0.019259811422349078	0.18696956085651065	0.10301041160988753	0.9179547076452707	0.9998207068924773
ENSTGUG00000000064	TTC36	51	42	46	43	56	57	48.93651096387937	0.19660416737809924	0.367163508495642	0.535467612736446	0.592326547323818	0.9998207068924773
ENSTGUG00000000065		1114	984	1103	928	861	963	989.9810526621793	-0.17466925327120428	0.17057630270827553	-1.0239948369025715	0.30583771359574974	0.9998207068924773
ENSTGUG00000000066	FASTK	468	641	501	543	657	516	550.5085303537048	0.14321587996892188	0.18013470386383706	0.7950487990208597	0.42658511640900487	0.9998207068924773
ENSTGUG00000000067	LSM7	1402	1646	1761	1199	1532	1650	1516.5259909925571	-0.09639286403335742	0.14182083833096504	-0.6796805403759278	0.49670676017845994	0.9998207068924773
ENSTGUG00000000068		11	11	6	4	4	14	8.214744336699114	-0.33049008977048483	0.9344086806816969	-0.3536890191659779	0.7235719527978677	0.9998207068924773
ENSTGUG00000000069	PPP2R2B	3335	5662	4126	3556	5079	4123	4257.309725005166	0.009268525132409364	0.18511341645038118	0.05006944018503246	0.9600670523811234	0.9998207068924773
ENSTGUG00000000070		314	393	369	279	440	393	360.43623958462484	0.08256027921209702	0.19007974029600005	0.43434549670328215	0.6640375700792005	0.9998207068924773
ENSTGUG00000000071		20	29	7	19	29	20	20.466022442573568	0.32507041139424764	0.6600517794259486	0.492492288524642	0.622371372074987	0.9998207068924773
ENSTGUG00000000072		6	13	107	14	23	80	39.51971843767696	-0.09436290967137935	0.9513211176688466	-0.09919143801055295	0.9209862728113659	0.9998207068924773
ENSTGUG00000000073		17	50	36	29	24	31	30.7030717057877	-0.2199915960868237	0.5285439269569762	-0.41622197298415115	0.6772475824721791	0.9998207068924773
ENSTGUG00000000074		5	4	21	6	10	18	10.498655658350422	0.19777033807086827	0.9438791420363568	0.20952930228354433	0.8340350631001403	0.9998207068924773
ENSTGUG00000000075		0	0	0	0	0	3	0.480707723902122	2.4220554654516637	3.9987563584906454	0.6057021854579515	0.5447125325266454	0.9998207068924773
ENSTGUG00000000076	ATP5MG	7945	6741	7206	6533	7122	7159	7098.071416000357	-0.036383025295602577	0.14836463916326487	-0.2452270669129294	0.8062806197412459	0.9998207068924773
ENSTGUG00000000077		1	4	5	14	7	12	7.255665014530908	1.806943968270024	1.012946726659044	1.7838489633406338	0.07444821089056745	0.9998207068924773
ENSTGUG00000000078		1	0	12	1	1	0	2.4695286697645518	-2.6319911196843573	2.2038473563532692	-1.194271060605369	0.23237195404399416	0.9998207068924773
ENSTGUG00000000079	TCERG1	882	896	920	719	728	895	835.017007523358	-0.16313109656559882	0.15347292360291953	-1.0629307941488615	0.28781333684794896	0.9998207068924773
ENSTGUG00000000080	MARCH2	357	529	380	353	399	414	401.25160570696244	-0.06794725388264536	0.18692700592711195	-0.36349618689735974	0.7162342608314967	0.9998207068924773
ENSTGUG00000000081		102	129	125	103	147	99	116.49065066971647	0.015553523356913807	0.27358112961648595	0.0568515941823809	0.9546634141509198	0.9998207068924773
ENSTGUG00000000082		397	486	514	320	601	546	470.63199744145413	0.0975438469495924	0.22150735085774043	0.4403639273002654	0.6596735468890955	0.9998207068924773
ENSTGUG00000000083	UBE4A	877	1306	1054	862	1170	1129	1053.5319040911904	0.010324457585815516	0.1620397831672972	0.06371557270695728	0.9491967047156327	0.9998207068924773
ENSTGUG00000000084		4733	5603	5260	4437	5897	5324	5164.5281035211065	0.045711076135955445	0.11504042769665496	0.3973479328196603	0.691110905244755	0.9998207068924773
ENSTGUG00000000085		380	558	434	306	405	389	406.6614416099412	-0.2733852186907116	0.18267102879874342	-1.4965986696878568	0.13449771650073217	0.9998207068924773
ENSTGUG00000000086	ANGPTL4	109	95	208	131	108	145	132.35304800676937	-0.054322107199944354	0.3632689839506702	-0.14953687102370672	0.8811300175558197	0.9998207068924773
ENSTGUG00000000087		0	0	2	2	4	6	2.2981073087044672	2.603490537751868	1.9491919196133747	1.3356768574478157	0.18165491678786627	0.9998207068924773
ENSTGUG00000000088		35	43	49	37	65	78	50.45794685465276	0.5295919780076421	0.40133158882148445	1.3195870765189355	0.18697292001076965	0.9998207068924773
ENSTGUG00000000089		55	55	84	54	99	75	69.60107771630027	0.26063380221932747	0.36543893465989535	0.7132075361972382	0.4757173435852699	0.9998207068924773
ENSTGUG00000000090		78	98	54	95	82	92	83.02073783813275	0.28144217958898093	0.3390499233103882	0.8300906746742738	0.4064875191251564	0.9998207068924773
ENSTGUG00000000091		21	88	79	55	86	70	65.21336167807138	0.22922584664417558	0.49492920022683107	0.4631487625687049	0.6432577396261778	0.9998207068924773
ENSTGUG00000000092		1108	1513	1429	1194	1279	1458	1318.7143568721008	0.005989289598238986	0.14623786642953665	0.040955805390697965	0.9673311284664347	0.9998207068924773
ENSTGUG00000000093		134	121	115	74	130	136	117.03666527001053	-0.10239822288585913	0.2944717758985111	-0.34773527131221704	0.7280390051421514	0.9998207068924773
ENSTGUG00000000094		18	29	27	30	19	28	25.10407323118635	0.12498895528357648	0.5250466078078719	0.2380530669561304	0.8118399355252326	0.9998207068924773
ENSTGUG00000000095	RPS28	1064	787	856	881	917	876	897.133334581642	0.017848012165715035	0.1989575812932677	0.08970762536264795	0.9285195562140489	0.9998207068924773
ENSTGUG00000000096	RNF38	43	61	42	31	73	46	48.5102723797336	0.06885407523444359	0.42676816714099713	0.16133835776859934	0.8718269138403585	0.9998207068924773
ENSTGUG00000000097	CDC25A	174	264	116	128	190	149	167.87754083121962	-0.2007670736333509	0.3207797119565967	-0.6258721052175388	0.5313988323487151	0.9998207068924773
ENSTGUG00000000098		106	127	196	138	113	187	143.62381105541658	0.07840227549877524	0.32764178837687813	0.23929266131520155	0.8108786555593159	0.9998207068924773
ENSTGUG00000000099	USP28	611	601	788	621	662	652	653.1477588908504	-0.00397910086648053	0.17869127971237841	-0.022268019306175953	0.9822341594502259	0.9998207068924773
ENSTGUG00000000100		5	2	1	3	8	4	3.8220137115218566	0.8997860945546322	1.2927919680044087	0.6960022314677343	0.4864274322837577	0.9998207068924773
ENSTGUG00000000101		76	68	5	43	40	2	39.275730161322	-0.7373726493212072	0.9964394913558513	-0.7400074522516837	0.45929547247544805	0.9998207068924773
ENSTGUG00000000102	POLE4	1060	1194	1197	931	1059	1104	1082.7563454675462	-0.11488850549899397	0.12375123717747853	-0.9283826822209945	0.3532090984197582	0.9998207068924773
ENSTGUG00000000103	TRIM14	14	12	29	4	35	22	18.856119605407812	0.1386663645131012	0.8028790657245974	0.17271139631465537	0.8628782854507837	0.9998207068924773
ENSTGUG00000000104		1	1	3	3	0	1	1.5360778220734845	-0.20262991799095753	2.025788526144798	-0.10002520765411527	0.9203243129861336	0.9998207068924773
ENSTGUG00000000105		90	54	123	78	74	84	83.83882526818925	-0.14254126888998916	0.3874154688329484	-0.3679286976314625	0.7129264012647525	0.9998207068924773
ENSTGUG00000000106		155	320	198	179	228	154	202.84857160900452	-0.1988904246103983	0.2973918984635354	-0.668782255461425	0.5036343875834552	0.9998207068924773
ENSTGUG00000000107	HTR3A	0	8	9	2	6	2	4.339817905468958	-0.7036065976148237	1.4500752586774937	-0.4852207452022395	0.6275197679168594	0.9998207068924773
ENSTGUG00000000108		138	201	176	201	252	209	194.80349746514665	0.4118581363148663	0.22007411917783803	1.8714519356183403	0.06128246600434543	0.9998207068924773
ENSTGUG00000000109		134	278	128	204	229	214	195.81246263881715	0.32496437919759263	0.30983615353560895	1.048826534571102	0.29425796263422843	0.9998207068924773
ENSTGUG00000000110		159	212	143	214	238	237	199.488378972314	0.4715792794643834	0.2229714012474806	2.114976525357024	0.03443194810425761	0.9998207068924773
ENSTGUG00000000111		408	421	461	468	391	491	439.3052322335625	0.11567270139558766	0.19377771180507922	0.5969350154776454	0.5505507681632723	0.9998207068924773
ENSTGUG00000000112		1542	2506	2094	1687	2256	2080	2002.6017961654964	0.020572206867429367	0.16958355021943095	0.12131015561833777	0.9034453764068181	0.9998207068924773
ENSTGUG00000000113	NANS	1038	911	699	922	964	619	860.0949801678709	-0.03215654533948571	0.25478840649459783	-0.12620882473381895	0.8995666260986486	0.9998207068924773
ENSTGUG00000000114	CLTA	2785	2650	3047	2401	2712	3247	2790.035041879863	0.013896431164447632	0.14867628304417016	0.09346770634775116	0.925532003957915	0.9998207068924773
ENSTGUG00000000115		24	5	16	15	1	25	14.531228531660211	-0.11631615910958372	1.0363347942241445	-0.11223801396793225	0.9106346887917839	0.9998207068924773
ENSTGUG00000000116		97	41	169	102	19	165	99.22294251643399	-0.06306979307662919	0.6789917127131733	-0.09288742689451909	0.9259929944450068	0.9998207068924773
ENSTGUG00000000117		624	706	606	564	616	626	619.8240692844485	-0.05549699954842262	0.14412324006625563	-0.3850662774644104	0.7001883118827996	0.9998207068924773
ENSTGUG00000000118	ELAVL1	1022	963	1320	979	1099	1143	1082.2457720989269	0.001807897857670855	0.1750066655442638	0.010330451426226335	0.9917576389028441	0.9998207068924773
ENSTGUG00000000119		486	523	396	369	460	410	437.5814616071312	-0.14152413720188745	0.18273556524938567	-0.7744750563949852	0.43864991329044334	0.9998207068924773
ENSTGUG00000000120	GNE	355	456	448	299	470	472	411.2806159156793	0.012956504530772964	0.19596566016035327	0.06611619872671066	0.9472853143506176	0.9998207068924773
ENSTGUG00000000121	REXO2	1917	2079	1864	1591	1803	1777	1826.5971033166556	-0.13782530890381306	0.11898906624404147	-1.1583022983064617	0.246740693807173	0.9998207068924773
ENSTGUG00000000122	SH3RF2	263	296	242	317	283	199	266.97537952017296	0.05858425157942726	0.26392578341990847	0.22197244551215048	0.8243353335561772	0.9998207068924773
ENSTGUG00000000123	MATK	2158	2635	3035	1762	2017	2353	2302.544083949339	-0.3098571890464013	0.1576038007515542	-1.9660515010983686	0.049292661849031055	0.9998207068924773
ENSTGUG00000000124		8	31	77	10	27	61	34.6066781190344	-0.22391614321980044	0.8134220131566529	-0.275276719338892	0.7831036490654427	0.9998207068924773
ENSTGUG00000000125	GRXCR2	0	0	0	2	2	0	0.6928202608391075	2.9390528818465276	3.8420916840982193	0.7649616728332591	0.4442943676467173	0.9998207068924773
ENSTGUG00000000126		0	2	0	0	0	0	0.3067621769587869	-1.7350246180944577	4.045075710689041	-0.4289226561346395	0.667979511824617	0.9998207068924773
ENSTGUG00000000127		87	117	291	58	108	278	153.02659258541738	-0.14596357373252913	0.5520555054767585	-0.26440017767139934	0.7914715746334413	0.9998207068924773
ENSTGUG00000000128	CADM1	2355	2490	2623	1767	2415	2077	2268.1089288723338	-0.2182939801309611	0.13292449203117537	-1.6422404689706367	0.10054017891309301	0.9998207068924773
ENSTGUG00000000129	KCTD16	468	614	644	415	528	588	536.6197307619251	-0.13211030410248567	0.1765966359056334	-0.7480907177251125	0.45440544048600046	0.9998207068924773
ENSTGUG00000000130		48	27	68	33	35	56	44.30273611233502	-0.18330614846721907	0.4924778389473478	-0.37221197375912146	0.709735031786807	0.9998207068924773
ENSTGUG00000000131	CPLX1	989	907	669	843	735	835	829.3443563757345	-0.042495558100857894	0.21569925117734975	-0.1970130070869726	0.8438173590830902	0.9998207068924773
ENSTGUG00000000132	PCGF3	227	151	150	145	156	160	164.85052375625096	-0.16687100553469894	0.2844711630523822	-0.5866007778931586	0.5574718601185458	0.9998207068924773
ENSTGUG00000000133	SLC49A3	108	99	122	71	106	75	96.08483333274897	-0.35098970803755025	0.29702070874991926	-1.1817011329438007	0.2373243086419133	0.9998207068924773
ENSTGUG00000000134	YIPF5	1411	1872	1737	1380	1598	1470	1564.3734416807945	-0.125134407489633	0.13357822325657778	-0.9367874825619903	0.3488678853955951	0.9998207068924773
ENSTGUG00000000135		4	28	28	4	8	28	16.05081096014885	-0.5485603552902267	0.9364993923748919	-0.5857562319385162	0.5580393399214884	0.9998207068924773
ENSTGUG00000000137		0	0	0	0	0	1	0.160235907967374	1.006097856067753	4.080472856796901	0.24656403592830706	0.8052456404796711	0.9998207068924773
ENSTGUG00000000138		1	3	1	2	13	12	5.168577510320924	2.4478819614683913	1.2866773963412026	1.9024830687390573	0.05710803027080436	0.9998207068924773
ENSTGUG00000000139		1	4	0	2	4	1	1.9607156840645419	0.5614555461225117	1.8551551635347998	0.3026461382630217	0.7621595491298605	0.9998207068924773
ENSTGUG00000000140		300	426	327	297	296	394	336.77204843867673	-0.04403669612122898	0.20506469660064594	-0.21474537963493745	0.8299658400145732	0.9998207068924773
ENSTGUG00000000141	BUD13	142	233	177	151	134	187	168.87611802262782	-0.1688389978127492	0.2624478936611954	-0.6433238821520522	0.5200139628780087	0.9998207068924773
ENSTGUG00000000142		37	52	32	58	61	46	47.585733866387294	0.5049778683416707	0.3984997901686109	1.2671973255695	0.2050847418341145	0.9998207068924773
ENSTGUG00000000143	ZPR1	3429	3901	2972	2920	3305	2707	3187.4802207631806	-0.15781035511660702	0.15970266371996053	-0.988151051715257	0.32307867637165966	0.9998207068924773
ENSTGUG00000000144	ELP6	796	2641	1272	631	2161	1399	1437.7764610931301	-0.1283451183434036	0.610303467243366	-0.21029721316039057	0.8334357102340588	0.9998207068924773
ENSTGUG00000000145	TRABD2A	20	29	26	19	14	17	20.676068379229598	-0.5227819325316516	0.5490441044833151	-0.9521674638936742	0.3410120589033676	0.9998207068924773
ENSTGUG00000000146	PIGG	493	638	748	508	657	769	628.5229167190384	0.08027123439702057	0.19724873143125246	0.40695437590176686	0.684041497711281	0.9998207068924773
ENSTGUG00000000147	TJP3	80	80	106	53	95	145	91.77249879854018	0.1549012557795329	0.3816141266707316	0.40591069605027086	0.6848082187049724	0.9998207068924773
ENSTGUG00000000148		168	182	195	172	173	180	177.5503736627038	-0.007160624005765867	0.2129995693420196	-0.03361802104992919	0.9731817516705781	0.9998207068924773
ENSTGUG00000000149		27	21	13	45	31	22	26.934753172295743	0.745619791778231	0.5856750243056575	1.273094738267514	0.20298442586720933	0.9998207068924773
ENSTGUG00000000150	KLHL18	2418	1895	2180	2492	1821	2156	2169.2579243468285	0.045135212082278796	0.2182237715468111	0.20682995148673278	0.8361426639800729	0.9998207068924773
ENSTGUG00000000151		0	0	1	0	6	0	1.1198808794456228	2.452893628178935	3.4210490274578675	0.7170004312980118	0.473373830535181	0.9998207068924773
ENSTGUG00000000152		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000153	SIK3	1057	984	934	874	914	1023	960.5559218903688	-0.043090726519757205	0.15539020468628328	-0.27730658188367097	0.7815447060623213	0.9998207068924773
ENSTGUG00000000154	GAK	329	258	233	283	299	228	272.08129534348217	0.023043904218358516	0.2559273534159402	0.09004080224635827	0.9282547909898511	0.9998207068924773
ENSTGUG00000000155	PIP5K1C	1799	2491	1951	1620	2124	1846	1950.9715047709715	-0.11277331255360272	0.14605001946570867	-0.7721554092642963	0.44002238791786813	0.9998207068924773
ENSTGUG00000000156		36	43	49	42	36	40	40.849963593542334	-0.06324964393296581	0.4005741943267767	-0.15789745028200344	0.8745376072416351	0.9998207068924773
ENSTGUG00000000157	KIF9	37	24	11	21	18	31	23.70353338153366	-0.01808331416426982	0.6344596149205778	-0.028501915234641854	0.9772618405147093	0.9998207068924773
ENSTGUG00000000158	FGF1	110	46	80	56	45	72	68.46903055747913	-0.42721357179881664	0.44580393860699513	-0.9582992315719151	0.33791189119522813	0.9998207068924773
ENSTGUG00000000159		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000160	SPRY4	10	41	22	24	30	13	22.96426920358895	-0.038767301296703145	0.6680468291025701	-0.05803081402060052	0.9537240838379126	0.9998207068924773
ENSTGUG00000000161	NDFIP1	4741	5836	6265	3941	4973	6237	5270.995932729868	-0.116271564563763	0.16532215723828755	-0.7033029722457266	0.48186695880392016	0.9998207068924773
ENSTGUG00000000162	PAFAH1B2	1088	1258	1018	995	1068	888	1047.1933567482347	-0.13822018934698668	0.16386013882977513	-0.8435254011994686	0.3989346656669984	0.9998207068924773
ENSTGUG00000000163	CACTIN	1030	1275	1008	908	1201	1126	1081.137902139587	0.00633170404222571	0.14348893702903356	0.044126775020603526	0.9648033501869777	0.9998207068924773
ENSTGUG00000000164	SETD2	415	509	534	480	484	488	482.48170729719766	0.04525162358917636	0.1676431554545517	0.26992825007665844	0.7872154531714692	0.9998207068924773
ENSTGUG00000000166	GNPDA1	95	124	141	61	115	105	105.1046739956721	-0.3271422997147038	0.30911776537166363	-1.0583096035304493	0.2899143160797809	0.9998207068924773
ENSTGUG00000000167	TBXA2R	8	1	7	2	5	14	6.104355634139274	0.3591115802540214	1.2020029912472432	0.29876097053751405	0.7651224325332384	0.9998207068924773
ENSTGUG00000000168	GIPC3	4	6	8	11	4	15	8.015816265299172	0.7991680836237791	0.9354410969227761	0.8543221868835138	0.3929264971997265	0.9998207068924773
ENSTGUG00000000169	HMG20B	341	406	342	346	361	388	361.878975940737	0.05487275398122178	0.16770936045994794	0.32718957266745047	0.7435245070604889	0.9998207068924773
ENSTGUG00000000170		262	548	314	273	498	331	364.38407437296223	0.020701547167591997	0.2933447773956544	0.07057070301841573	0.9437394278641213	0.9998207068924773
ENSTGUG00000000171	RNF14	1191	1542	1472	1054	1440	1392	1333.6280675072303	-0.07361638571292112	0.1413062000167301	-0.520970670106515	0.6023872033843478	0.9998207068924773
ENSTGUG00000000172		71	100	104	62	122	109	93.16261360650758	0.12205661473422649	0.32471449998204094	0.3758890186332212	0.7069994047262141	0.9998207068924773
ENSTGUG00000000173		6	40	25	4	41	23	22.219515912910417	-0.03307501348756538	0.8665961771659081	-0.038166581343265296	0.9695548656969172	0.9998207068924773
