ensembl_gene_id	external_gene_name	Fem7_Exe_shelf	Fem8_Exe_shelf	Fem9_Exe_shelf	Fem7_Exe_HVC	Fem8_Exe_HVC	Fem9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000699		253	457	398	234	447	317	344.82054503505907	-0.10968025910693757	0.2669646010502452	-0.4108419568566498	0.68118842553759	0.9998207068924773
ENSTGUG00000000700		320	288	371	234	215	413	304.5959010715556	-0.1527356729432686	0.28072344406587973	-0.5440787941723343	0.5863872523917673	0.9998207068924773
ENSTGUG00000000701	AP1M1	855	1392	1281	916	1358	1230	1156.0012427269573	0.03459144703716949	0.19074415547545412	0.18134997085989815	0.8560928851463985	0.9998207068924773
ENSTGUG00000000702		196	262	248	289	249	190	238.91323461651803	0.11163832268737292	0.26139728966882936	0.4270829388813107	0.6693189191584925	0.9998207068924773
ENSTGUG00000000703	SNX19	86	106	125	75	133	128	107.34517546316756	0.11373675287348604	0.300903001247916	0.3779847738367274	0.7054419050778726	0.9998207068924773
ENSTGUG00000000704	LARP1	830	1190	1017	882	1040	1046	991.2001515887691	0.015622243232361029	0.14733623512796457	0.10603123677480145	0.9155575685146354	0.9998207068924773
ENSTGUG00000000705	ARRDC3	375	387	355	345	405	435	381.38996911786086	0.12329141553674529	0.1651955387471153	0.7463362296089745	0.4554643310748512	0.9998207068924773
ENSTGUG00000000706	MNX1	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000707	ADAMTS15	201	122	173	159	95	159	152.3078925834865	-0.2209895410876164	0.34929984672943826	-0.6326642944644381	0.526952891262719	0.9998207068924773
ENSTGUG00000000708	UBE3C	171	217	236	217	248	220	216.88536396232053	0.1834438502323124	0.21045656058297116	0.8716470977391595	0.38340092866250136	0.9998207068924773
ENSTGUG00000000709	FAM32A	7310	8611	6710	6032	7578	6138	7008.846620065017	-0.152169147864556	0.14497659594324877	-1.0496118140622004	0.2938966231535621	0.9998207068924773
ENSTGUG00000000710	SAP30L	386	484	381	395	461	351	407.2317038605336	-9.481075043576259e-4	0.19324502694858778	-0.004906245295563889	0.9960853983320521	0.9998207068924773
ENSTGUG00000000711	GALNT10	517	439	443	469	466	590	486.2335290296845	0.15993040733029143	0.1954498555418296	0.8182682299095566	0.4132040428523759	0.9998207068924773
ENSTGUG00000000712		0	2	1	0	0	0	0.46910896110633166	-2.3414200274224592	3.9981626422929573	-0.585624007051311	0.5581282118522091	0.9998207068924773
ENSTGUG00000000713	NR2F1	98	102	158	79	76	122	104.87787564602267	-0.331241262023779	0.33576595592168385	-0.9865242624569115	0.3238759152781757	0.9998207068924773
ENSTGUG00000000714		3	11	44	15	7	43	20.164905736314964	0.20810708062195868	0.9774280456515019	0.21291294182503787	0.8313948677043025	0.9998207068924773
ENSTGUG00000000715	FAM172A	1005	883	994	907	912	1063	957.9628233315657	0.03842549787637816	0.1650671219570384	0.23278710757663218	0.8159267246004029	0.9998207068924773
ENSTGUG00000000716	RAB8A	173	271	318	152	261	331	246.5477638454379	-0.0035199445830236867	0.30313919226105585	-0.011611644659897355	0.9907354561909975	0.9998207068924773
ENSTGUG00000000717	DNAJB6	4174	4155	4837	4250	4141	4527	4333.076683317509	0.018185983153795302	0.14371064787398563	0.12654582957375501	0.8992998738498872	0.9998207068924773
ENSTGUG00000000718		8	42	80	6	28	58	35.71250727858509	-0.4824392418439513	0.8478980158460063	-0.5689826286037342	0.5693679288393074	0.9998207068924773
ENSTGUG00000000719	FAM114A2	473	549	493	386	539	489	483.48469321674105	-0.06200965131298152	0.15840812852524738	-0.3914549833413271	0.6954609572622146	0.9998207068924773
ENSTGUG00000000720		373	365	335	356	428	402	374.8565298915023	0.18258235735132394	0.17123250919056385	1.066283255524387	0.28629561645723733	0.9998207068924773
ENSTGUG00000000721		92	119	91	123	122	91	106.1522874580779	0.2125467483894703	0.2952739419405528	0.7198290068964572	0.47163028292399967	0.9998207068924773
ENSTGUG00000000722	ADAMTS8	89	55	64	58	53	46	61.06203283535475	-0.36748345514568065	0.39201354092268387	-0.937425412093504	0.34853977431101446	0.9998207068924773
ENSTGUG00000000723		415	502	435	363	469	330	415.76652894936944	-0.17191267111799563	0.1937028955491722	-0.8875069762411216	0.37480601194965724	0.9998207068924773
ENSTGUG00000000724	TPM4	940	663	1007	867	711	926	853.4547224721998	-0.019623688097913556	0.23604820005160554	-0.08313424162363182	0.9337447991945965	0.9998207068924773
