id	Mal7_Exe_MSt	Mal8_Exe_MSt	Mal9_Exe_MSt	Mal7_Exe_AreaX	Mal8_Exe_AreaX	Mal9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown1	3984	3574	3765	2921	3694	3840	3593.491271152594	0.0017728822444876596	0.1430391956608477	0.012394380689131129	0.9901109682013635	0.9998924110731865
unown2	0	4	0	0	0	0	0.63061759651912	-2.725652739641299	3.9731706616018383	-0.6860145137944854	0.4927039561044317	NA
NFYC	5754	6269	4517	4174	5967	5133	5255.922042320696	0.010710570207008028	0.19254487439357246	0.05562635848262065	0.9556394659776994	0.9998924110731865
DARS2	419	347	301	328	318	358	342.6232352276731	0.040338932251475584	0.2132413464376646	0.1891703130061955	0.8499593343404733	0.9998924110731865
CENPL	124	130	151	104	157	163	136.8074920050427	0.1727867217420798	0.27821363626355394	0.6210577025002383	0.5345616579482261	0.9998924110731865
RIMS3	152	221	120	94	94	114	130.024801508153	-0.5853201201831881	0.3164466514026265	-1.849664446088463	0.06436192790571968	0.48930877183935184
SMAP2	1731	1617	1605	1244	1223	1338	1444.3928077658097	-0.2532089054015799	0.1532247517690321	-1.6525326520565156	0.09842601450525502	0.6214955306787289
HIVEP3	284	407	337	164	372	400	320.8786371919872	-0.04751124613158301	0.30652789778719	-0.1549981142811613	0.8768228039259549	0.9998924110731865
unown3	322	339	334	247	421	384	338.00463892810666	0.19096186450810715	0.23192512195552592	0.8233772301075952	0.41029350746960574	0.9998924110731865
unown4	86	128	95	69	94	65	88.81848347194563	-0.30293642640861357	0.359157296491522	-0.8434644913743649	0.3989687167309402	0.9998924110731865
UCK2	1965	3269	1898	1387	1769	1560	1946.6299859774067	-0.46808173294769956	0.24257464940587892	-1.929639944215685	0.05365146591525489	0.4376982384074959
unown5	5637	6124	5861	4344	6849	7029	5906.9523096405655	0.15431200037456333	0.17614175120397085	0.8760671409237392	0.3809935347730013	0.9950127040959222
unown6	1015	737	905	925	1144	1382	1010.9469741987641	0.4853307006749453	0.18493328012393534	2.6243556614022903	0.008681307962522753	0.13046875189592694
unown7	1489	1420	1401	930	1304	1467	1315.0722121920626	-0.1130826474056727	0.1639966330832926	-0.6895424941330284	0.4904819414108593	0.9998924110731865
unown8	1	0	0	1	2	2	1.0039056652505969	2.317885227357933	2.689746497430018	0.8617485809806282	0.38882588571413207	NA
TET3	541	1066	655	362	834	583	664.202316998467	-0.2320787052751642	0.329170244347628	-0.7050415681864367	0.48078436790609524	0.9998924110731865
unown9	153	147	96	113	95	78	113.08623885682728	-0.3144711279875485	0.3532342307655358	-0.8902623262361092	0.3733250451850987	0.9912923546709607
MGST3	1744	1879	1521	2027	2571	2317	2011.7460185621028	0.554207827967288	0.17209029068311696	3.220447973952193	0.0012799042158130284	0.030681647539630624
unown10	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown11	110	58	44	272	125	121	126.60611498552878	1.4769502747877081	0.48223562708082546	3.0627149713684734	0.002193388689918386	0.046609842264287125
PBX1	210	204	161	95	189	260	181.93082718527387	0.0012552364042307162	0.32300652585016115	0.003886102303744183	0.9968993467743803	0.9998924110731865
LMX1A	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
RXRG	63	38	15	87	108	77	65.81628963440205	1.3811100490451045	0.5136566137283545	2.688780816079397	0.007171348935787256	0.1139382580042932
unown12	1	10	0	2	0	7	3.1708330250283803	-0.25666410308903725	2.0099700030235517	-0.1276954893371261	0.8983899598569505	NA
unown13	2137	1113	1102	1514	1055	1196	1347.772823137639	-0.05715207181578021	0.2964451841015922	-0.19279136542219594	0.847122366027073	0.9998924110731865
METTL18	302	276	222	206	253	363	265.8850082336288	0.13928677520130694	0.2361291059906981	0.5898755031359577	0.5552741185564525	0.9998924110731865
SLC4A5	55	6	13	44	18	13	25.31232908983081	0.23091348490688526	0.8803709504313697	0.26229112261568927	0.7930970056400145	0.9998924110731865
PLPP5	25	33	20	24	24	24	24.860622297893347	0.016186109362530277	0.5435315633155211	0.029779520555891267	0.976242891751404	0.9998924110731865
C1orf112	105	76	79	67	69	118	84.10595428287478	0.06380051582330429	0.34127012107271837	0.1869501954134144	0.8516996826722073	0.9998924110731865
SCYL3	558	703	572	466	749	700	618.855518788711	0.17530117535341308	0.2153345220475111	0.814087651559813	0.41559473944999276	0.9998924110731865
TIA1	131	132	83	115	184	121	127.76940539810771	0.41646385728353763	0.34252993274283733	1.2158466092252673	0.22404335979356776	0.8802307773311306
DUSP26	360	1100	510	366	1785	1134	869.4895653627211	0.8346788161706559	0.7388179785877546	1.129748923768935	0.2585820357569372	0.919039855321383
RNF122	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown14	240	419	162	119	289	193	232.97511448555366	-0.32970925146861885	0.40024297115433866	-0.8237727461339449	0.4100686960146658	0.9998924110731865
MAK16	378	484	299	288	324	348	349.2975575705093	-0.15092893564830995	0.23383585143934743	-0.645448226691013	0.5186367591679764	0.9998924110731865
KIFAP3	3638	2943	3162	1919	2354	2849	2761.396474889794	-0.3431981005701073	0.1546135159023657	-2.2197160356073122	0.026438049627723562	0.29030684171861615
unown15	56	192	213	34	146	186	133.97216009235177	-0.2847300664760574	0.5706233610713624	-0.4989807391367017	0.6177929530555701	0.9998924110731865
METTL11B	17	7	13	14	2	3	9.390919735157643	-0.7523349800408765	1.0598612944506025	-0.7098428671563691	0.47780158292376695	0.9998924110731865
unown16	265	194	242	169	188	188	205.51602510078055	-0.2380690761846535	0.24401416005229543	-0.9756363160794939	0.3292447212684604	0.9762155964219326
