id	Mal1_Veh_MSt	Mal2_Veh_MSt	Mal3_Veh_MSt	Mal1_Veh_AreaX	Mal2_Veh_AreaX	Mal3_Veh_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown1	2602	2744	2354	2608	3315	3172	2777.1773672937256	0.16670411006363287	0.19961887396265673	0.8351119648877424	0.4036546705713398	0.883010836830962
unown2	2	0	0	0	0	0	0.31798859485652387	-1.8586985831766512	4.04581021118378	-0.4594131919581089	0.6459374767470405	NA
NFYC	4470	4524	4044	5467	5209	2316	4240.075429471022	-0.13147425053996248	0.2551065611797635	-0.5153699298518543	0.6062945410522356	0.9406186630763363
DARS2	462	675	380	462	799	553	543.0257651814478	0.16877764735776823	0.2660874569824718	0.63429388694893	0.5258890452282792	0.924250677134905
CENPL	121	127	88	126	159	69	111.5513959342555	-0.042427900476044333	0.3369302429353028	-0.12592488019602122	0.8997913878926462	0.9887426284191194
RIMS3	109	225	97	94	194	63	125.81632711090515	-0.4354430715134454	0.43416451465452954	-1.0029448672467698	0.3158874629662021	0.8392169568421741
SMAP2	1526	1124	1748	1204	1334	1361	1390.1271138331322	-0.26350306187178796	0.26382370018958545	-0.9987846493034285	0.3178990238494828	0.840602309403195
HIVEP3	242	348	246	270	271	158	251.9704280134245	-0.36576815762035875	0.2752437256035697	-1.3288882673647948	0.18388483519558077	0.7318757573880053
unown3	235	238	326	320	318	257	281.3128228108307	0.05263895182892576	0.2817003267417294	0.18686152209254125	0.8517692086741838	0.9841722393789389
unown4	67	65	41	61	28	51	52.25150560588021	-0.33073272822266986	0.49717685538502143	-0.6652214893763414	0.5059088377072065	0.9213308204178129
UCK2	1536	2550	1595	1539	2114	593	1609.5579031364905	-0.5732335656016984	0.33609724445094286	-1.705558659185521	0.0880902819922734	0.5551670120474994
unown5	5524	4959	4671	5887	6229	6384	5572.424438395156	0.21957079007699515	0.19356147752382985	1.1343723600682023	0.25663838805567646	0.8030081013476175
unown6	848	714	919	1176	1212	881	945.9947804051181	0.28842321408401367	0.21930058137873554	1.3151958479576589	0.18844409022523484	0.735641120962573
unown7	943	1549	1515	1136	2106	970	1342.7893512323017	-0.08100860600997697	0.2926692256057962	-0.27679236121357553	0.7819395469725734	0.9772243805223111
unown8	2	0	0	1	0	2	0.8557870985102936	0.720999426404385	3.390768896344289	0.21263596796045894	0.8316109145602866	NA
TET3	452	764	674	524	471	243	518.5400359683238	-0.7405021707438886	0.3100904170747141	-2.3880201707925397	0.016939412044231477	0.22567614732260935
unown9	194	94	108	126	94	60	111.03160831937143	-0.5891861833850899	0.3984274092430964	-1.4787792448927728	0.1391993247200488	0.6655804446237661
MGST3	1690	1459	1305	2611	2272	970	1665.7471722896005	0.2724731575351031	0.28445667610535064	0.9578722541009748	0.3381271789983165	0.8532832845300912
unown10	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown11	91	89	166	242	144	244	165.0288535628148	0.7876037389228326	0.4293706288540366	1.834321413704747	0.06660629731773758	0.4948676731824691
PBX1	149	215	219	171	170	81	166.2367600170419	-0.6038105134519393	0.3459246504794012	-1.7454972133820061	0.08089835709672881	0.5370433681423781
LMX1A	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
RXRG	32	58	36	97	123	24	58.22195853593031	0.7901253245967752	0.5548385046864475	1.4240636111642864	0.15442805893271103	0.6908420109124688
unown12	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown13	867	835	1097	937	1180	1180	1016.4249972512805	0.14566751794172936	0.2581000385519161	0.5643839449192052	0.572492862900105	0.9365120397194567
METTL18	318	282	220	379	330	254	291.9976578067648	0.15081557561242653	0.24274751586475696	0.621285763008389	0.5344116193675383	0.9285461061910466
SLC4A5	4	8	13	11	7	10	9.017634018379091	0.06410621838701548	0.9699571176645418	0.06609180676087015	0.9473047338481146	0.9941187007413008
PLPP5	34	25	19	32	30	14	24.950971178205272	-0.1399806554588529	0.5906125459889914	-0.2370092819895195	0.8126495894084261	0.9807174153884839
C1orf112	147	121	116	120	198	200	149.13954139666197	0.36436524497855644	0.33392003562061895	1.0911751500665494	0.2751958201712583	0.8202232190651194
SCYL3	503	520	532	648	814	445	564.7119857574091	0.17033242229703027	0.2196039938231963	0.775634446949837	0.43796485532673357	0.8995374047557959
TIA1	59	106	105	90	152	76	96.11795288957292	0.09152580222041219	0.3994245867879781	0.22914413696069183	0.8187568896083436	0.9812076044731824
DUSP26	508	404	551	877	647	323	541.1017337666589	0.20550741400373568	0.32619204036020344	0.6300197079511825	0.5286816900699207	0.9251650472378677
RNF122	0	0	1	0	1	0	0.32686362441684347	-0.08525594610544364	4.080472856796901	-0.020893643726469496	0.9833304970901046	NA
unown14	184	139	126	133	139	71	129.5265545497075	-0.4967808858398963	0.31936561292462484	-1.555524031815987	0.11982131566444376	0.6294397093361782
MAK16	312	342	296	326	284	187	287.86242170420144	-0.35515740329855316	0.25279400998638474	-1.4049280808421118	0.16004266540232326	0.6992311313511986
KIFAP3	2158	2089	3557	1860	1965	2991	2491.0125559452977	-0.26681132821658543	0.3451945696783987	-0.7729302592018201	0.4395636556233765	0.8995374047557959
unown15	284	336	280	309	410	291	313.4947685016374	0.06710013467726945	0.2225861702894999	0.3014568901113565	0.7630661185578231	0.9729754654742562
