id	Fem1_Veh_MSt	Fem2_Veh_MSt	Fem3_Veh_MSt	Fem1_Veh_AreaX	Fem2_Veh_AreaX	Fem3_Veh_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown1	3560	2923	3407	3371	4244	3160	3423.627501540751	0.1183834216131816	0.21854844101382548	0.5416804671038244	0.5880386480290256	0.9998933113894561
unown2	2	0	0	1	0	0	0.5481805172507509	-0.9180367748741921	4.036456672013789	-0.22743630106059912	0.8200844956260621	0.9998933113894561
NFYC	3281	5957	4756	2427	6750	5291	4569.737402576766	-0.03949088871779826	0.29743324407314614	-0.1327722758122037	0.8943734809004424	0.9998933113894561
DARS2	512	324	421	424	373	459	421.87608947866823	0.02681829310141501	0.31367716143333163	0.08549647981660571	0.9318666939257187	0.9998933113894561
CENPL	116	84	137	57	76	153	102.70556611314036	-0.25839736155345305	0.44297246680848007	-0.5833260098875889	0.5596738562817958	0.9998933113894561
RIMS3	173	110	97	101	133	105	118.98092391767288	-0.18034577708628138	0.35694239134080047	-0.5052517758085263	0.6133820090213153	0.9998933113894561
SMAP2	1258	1369	1425	732	1767	1386	1282.4433658943099	-0.13688961798636673	0.22897467787920664	-0.597837364612787	0.5499484565096098	0.9998933113894561
HIVEP3	189	248	355	104	248	388	248.41978667671208	-0.16131939376725077	0.4190026900276378	-0.3850080145227946	0.7002314776643125	0.9998933113894561
unown3	327	262	261	168	252	250	250.16196984398653	-0.3722323737671207	0.25521371861819697	-1.4585124020076097	0.1446993592178809	0.9998933113894561
unown4	27	75	54	37	95	35	51.73591349056469	0.013236796585896257	0.5385174180572384	0.024580071399824866	0.9803899152164055	0.9998933113894561
UCK2	1336	3358	1493	748	2391	1846	1792.8058803316771	-0.4094371895968161	0.387796914065755	-1.0558031143264635	0.2910581751049402	0.9998933113894561
unown5	7593	5815	5418	6453	7959	5764	6470.001768080874	0.09705741035049477	0.243209111661039	0.39906979507315443	0.689841777557062	0.9998933113894561
unown6	808	713	1017	529	797	1032	804.4154404894425	-0.13519207993040183	0.2720985359266982	-0.49684971464463085	0.6192950341828833	0.9998933113894561
unown7	1215	1741	1600	1060	2123	1757	1541.5144735999975	0.06054271389750213	0.22495890301394875	0.2691278855220419	0.7878312722705493	0.9998933113894561
unown8	0	3	0	1	0	0	0.7053626385323118	-1.4757075809695717	3.995335791808586	-0.3693575854112519	0.7118612082084839	0.9998933113894561
TET3	317	741	405	310	674	646	500.3415805504621	0.09559556596251528	0.3507419738484298	0.2725523977458886	0.7851973079734982	0.9998933113894561
unown9	101	163	120	78	164	153	126.32923519872321	-0.01633567722339624	0.3385157440182023	-0.048256772430997644	0.9615116049933115	0.9998933113894561
MGST3	1559	2286	2020	1016	2402	1968	1819.4984747387564	-0.19547991695554617	0.24993159257640649	-0.7821336828227752	0.4341360134562079	0.9998933113894561
unown10	1	0	0	0	0	2	0.49070425779574345	0.8640104336990055	4.041848897406405	0.21376613911851786	0.8307294316456659	0.9998933113894561
unown11	243	114	47	187	93	45	126.4686494349172	-0.18941189806796085	0.6717810713048664	-0.2819548006913138	0.7779781685171974	0.9998933113894561
PBX1	104	223	183	127	170	229	170.5903337303855	0.030315287813238227	0.37260563393180485	0.0813602507652544	0.9351554595658039	0.9998933113894561
LMX1A	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
RXRG	27	64	32	35	97	40	46.9309363642691	0.3918233545064422	0.5363046818337164	0.730598422461523	0.46502447589503315	0.9998933113894561
unown12	5	0	2	0	0	5	1.9773212579040602	-0.527765343890179	2.567975713084383	-0.20551804333705423	0.8371674024208438	0.9998933113894561
unown13	1463	579	1268	1114	863	1096	1077.199604130356	-0.06440534178730661	0.38389805374953817	-0.16776678380694732	0.8667667547578044	0.9998933113894561
METTL18	398	299	271	367	415	396	357.0154978481239	0.2859985207545615	0.27593699934183663	1.0364631109156204	0.29998614059284195	0.9998933113894561
SLC4A5	6	13	8	11	24	13	12.044145233928452	0.7668270757655384	0.7914611968889257	0.9688751372521874	0.3326074918152435	0.9998933113894561
PLPP5	13	19	35	22	33	29	24.773372747124995	0.3002104962580234	0.6120182152286644	0.49052542683857486	0.6237621416795233	0.9998933113894561
C1orf112	131	141	85	95	137	87	111.38063493868066	-0.1848346197386294	0.35340326066982425	-0.5230133400249404	0.6009649700171306	0.9998933113894561
SCYL3	475	670	653	350	844	660	589.2526168150046	-0.030022655042537007	0.2622334732995279	-0.11448826370173032	0.9088507494339841	0.9998933113894561
TIA1	100	142	83	74	152	116	108.19258559667662	0.01628053099035939	0.3471673311917065	0.0468953427572632	0.9625966399536161	0.9998933113894561
DUSP26	352	901	682	264	789	721	595.7267589569512	-0.2133071633085894	0.38553885521574227	-0.5532702097930586	0.580078396798241	0.9998933113894561
RNF122	1	0	0	0	0	0	0.16778958279192854	-0.9693468484007676	4.080472856796901	-0.2375574798362187	0.8122243326219146	0.9998933113894561
unown14	148	204	265	94	211	334	203.72849429372602	-0.008134046416313444	0.4156783344528576	-0.019568126943685905	0.9843878899771444	0.9998933113894561
MAK16	219	408	432	155	334	457	325.7165279278903	-0.21929416340727298	0.38159832379769376	-0.5746727638235981	0.5655126308838945	0.9998933113894561
KIFAP3	2207	1949	2517	1833	2606	2520	2244.6591117732096	0.03893042225958758	0.20137607206489866	0.19332198637304457	0.8467068084730806	0.9998933113894561
unown15	240	319	82	209	422	88	220.09814869991519	0.10017546027135177	0.5490223467340366	0.18246153524945655	0.8552205380350877	0.9998933113894561
