gene
ANLN
ARC
BAIAP2
BVES
CALB1
CDH18
CDK6
CHST1
CHST11
CKAP2
DGKI
DLGAP2
DNAJB5
DOK6
DUSP6
EGR1
ELMO1
FAM117B
FKBP5
FOS
GREM1
GRM5
GSG1L
HIVEP2
HOMER1
HTR2C
KCND3
KCTD8
MTNR1A
NR4A1
PDXK
PLK2
SHC3
SLC25A25
TAC1
TIPARP
TPD52L1
VLDLR
ZMAT4
ZNF365
