gene
ADAMTS5
ARC
DUSP6
FAT4
FOS
FOSL2
GPR52
HSPB1
ID2
IRF4
IRS2
LONRF1
NR4A1
NR4A3
PMP2
RASD2
RASL11A
SGK1
SYT4
TCERG1L
TMEM74
UBXN2A
ADRA2A
AHSA2
CDKAL1
DNAJA4
DNAJB5
DPH1
DUSP5
HSP90AA1
LMBRD1
MAMLD1
NFIL3
RPS6KA3
TIMP3
ZBTB38
ZCCHC14
ACSBG2
ALDH1A2
APCDD1
ARPP19
BAIAP2
CABP1
CACNA1G
CHRNA5
CRHBP
DRD3
DUSP4
EGR1
FAM13C
GNG11
GPR39
HEY1
IFIH1
KCNIP2
MAFK
MEGF9
MMP9
MPPED2
NT5DC1
RELN
RRBP1
SDC1
SEZ6L
SLIT1
ST6GAL1
TEC
