gene
ADARB2
ANK1
ANLN
AR
ART1
BAIAP2
CA7
CCDC134
CHST1
CNDP2
CPM
CPT1A
DOK4
DUSP5
EGR1
FAM20C
FHOD1
FOS
GALNT10
GRTP1
HHATL
HLF
HS6ST1
ID2
LHX6
LRRN3
MKX
MRAS
NEUROD6
NOTUM
NPAS2
NPY2R
NR2F2
NR4A1
NR4A3
NRN1
PABPC4
PCDH8
PCSK2
PISD
PLK2
RASD1
RELN
SCN4B
SORCS1
SPATS2L
SPTB
SS18L1
ST8SIA1
SULF2
SYT13
SYT2
TMEM8B
TMSB4X
TPCN1
TRIM39
TRPM2
UNC5A
YPEL1
